시군구,연도,녹지 비율,기온,강수량,온열환자
광주광역시,2010,77.67,14.2,1573.10,323
부산광역시,2010,61.11,14.9,1441.90,812
강원도,2010,78.35,11,1253.50,280
전라북도,2010,67.68,12.6,1452.60,706
대전광역시,2010,81.17,12.7,1419.70,325
충청남도,2010,65.55,12.2,1560.90,1293
인천광역시,2010,50.17,11.4,1529.10,386
경상남도,2010,79.27,13.8,1572.90,1445
제주특별자치도,2010,83.64,15.8,1856.70,203
충청북도,2010,79.41,11.4,1340.60,1703
전라남도,2010,67.35,13.4,1617.20,1006
경기도,2010,78.75,11.2,1713.90,2508
서울특별시,2010,40.07,12.1,2043.50,1166
경상북도,2010,75.03,12.2,960.4,385
대구광역시,2010,77.77,14.4,1204.50,239
울산광역시,2010,69.65,14,1161.60,167
광주광역시,2011,77.66,13.7,1300.30,347
부산광역시,2011,59.73,14.6,1478.60,975
강원도,2011,78.1,10.5,1830.70,183
전라북도,2011,67.5,12.3,1542.10,565
대전광역시,2011,81.24,12.6,1943.40,306
충청남도,2011,65.67,11.8,1821.30,1074
인천광역시,2011,51.14,11,1592.40,493
경상남도,2011,78.7,13.6,1670.00,1285
제주특별자치도,2011,83.64,15.8,1579.00,172
충청북도,2011,78.93,11.2,1864.40,1617
전라남도,2011,68.13,13.1,1508.30,865
경기도,2011,78.8,11,2118.80,1889
서울특별시,2011,40.05,12,2039.30,1258
경상북도,2011,74.71,12,1309.80,371
대구광역시,2011,77.68,14.3,1430.40,213
울산광역시,2011,69.61,13.7,1233.20,133
광주광역시,2012,77.64,13.7,1626.80,338
부산광역시,2012,59.45,14.5,1983.30,2580
강원도,2012,77.99,10.5,1264.70,225
전라북도,2012,67.52,12.3,1547.60,655
대전광역시,2012,81.17,12.6,1409.50,359
충청남도,2012,65.23,11.7,1455.70,1073
인천광역시,2012,49.03,11.1,1221.60,583
경상남도,2012,78.48,13.3,1689.30,1850
제주특별자치도,2012,83.64,15.9,2206.40,165
충청북도,2012,78.78,11.1,1409.50,1007
전라남도,2012,67.97,13.2,1688.80,1086
경기도,2012,78.59,11.3,1531.90,2149
서울특별시,2012,40.03,12.2,1646.30,1634
경상북도,2012,74.27,11.8,1259.60,736
대구광역시,2012,77.61,14.1,1189.90,1482
울산광역시,2012,68.59,13.7,1458.10,194
광주광역시,2013,77.64,14.2,1245.40,422
부산광역시,2013,58.95,15.3,1130.10,1339
강원도,2013,77.9,11.2,1230.30,263
전라북도,2013,68.69,12.7,1255.70,836
대전광역시,2013,81.13,13.1,1120.20,439
충청남도,2013,65.97,12.1,1147.00,1030
인천광역시,2013,49.95,11.1,1107.90,464
경상남도,2013,78.31,14,1167.20,2333
제주특별자치도,2013,83.64,16.3,1001.70,231
충청북도,2013,78.65,11.6,1165.40,902
전라남도,2013,67.89,13.7,1206.40,1214
경기도,2013,78.25,11.6,1421.60,1813
서울특별시,2013,39.88,12.5,1403.80,1474
경상북도,2013,74.07,12.5,991.6,1052
대구광역시,2013,77.54,15,571.2,1671
울산광역시,2013,68.45,14.8,858.3,248
광주광역시,2014,77.64,14.3,1290.30,266
부산광역시,2014,58.97,15.1,1693.10,1357
강원도,2014,77.82,11.7,1006.00,236
전라북도,2014,68.66,12.9,1281.90,478
대전광역시,2014,81.13,13.4,1117.70,314
충청남도,2014,65.74,12.6,1060.70,871
인천광역시,2014,49.98,12.1,595.3,448
경상남도,2014,78.12,13.8,1579.00,2776
제주특별자치도,2014,83.64,16.1,1887.30,72
충청북도,2014,77.82,12,990.5,1032
전라남도,2014,67.98,13.8,1486.40,797
경기도,2014,77.9,12.2,799,1763
서울특별시,2014,39.89,13.4,808.9,1903
경상북도,2014,74.03,12.5,1153.80,896
대구광역시,2014,77.55,14.5,1047.60,1526
울산광역시,2014,68.33,14.7,1398.70,238
광주광역시,2015,77.64,14.6,1049.60,311
부산광역시,2015,58.15,15.4,1396.70,1337
강원도,2015,77.73,12,893.9,394
전라북도,2015,68.65,13.2,933,589
대전광역시,2015,80.93,14,822.7,260
충청남도,2015,65.22,12.9,713,1118
인천광역시,2015,49.88,12.3,633.8,407
경상남도,2015,77.92,14,1237.50,2492
제주특별자치도,2015,83.64,16.2,2108.80,109
충청북도,2015,77.66,12.4,787.6,878
전라남도,2015,67.83,14,1246.30,862
경기도,2015,77.75,12.6,820,2432
서울특별시,2015,40.27,13.6,792.1,2670
경상북도,2015,73.97,13,823.1,1216
대구광역시,2015,77.44,14.8,548.5,850
울산광역시,2015,68.26,15,1044.60,239
광주광역시,2016,75.03,15,1482.30,447
부산광역시,2016,58.12,15.7,1760.20,1566
강원도,2016,77.53,12,1065.10,460
전라북도,2016,68.58,13.5,1254.50,1023
대전광역시,2016,80.91,14,1228.40,318
충청남도,2016,65.09,13.1,989.2,1435
인천광역시,2016,49.73,12.4,899.7,485
경상남도,2016,78.19,14.4,1737.10,2360
제주특별자치도,2016,83.64,16.6,1792.50,224
충청북도,2016,77.15,12.6,1080.30,1060
전라남도,2016,68.77,14.3,1499.60,1489
경기도,2016,77.51,12.7,1016.10,2907
서울특별시,2016,39.81,13.6,991.7,3745
경상북도,2016,73.6,13.2,1220.20,1321
대구광역시,2016,77.41,14.6,1227.30,304
울산광역시,2016,68.13,14.8,1693.90,303
광주광역시,2017,74.96,14.6,936.6,380
부산광역시,2017,58.06,15.2,1014.40,1195
강원도,2017,77.42,11.5,1101.80,488
전라북도,2017,68.48,12.7,949.3,984
대전광역시,2017,80.91,13.4,1127.50,230
충청남도,2017,65.14,12.3,1013.50,1198
인천광역시,2017,49.73,11.9,724.4,417
경상남도,2017,77.95,14.1,876.4,1739
제주특별자치도,2017,82.68,16.4,1221.60,555
충청북도,2017,76.76,11.9,1137.90,962
전라남도,2017,68.69,13.8,867.4,1117
경기도,2017,77.4,11.8,1094.90,2677
서울특별시,2017,38.71,13,1233.20,3745
경상북도,2017,73.43,12.8,864.2,1007
대구광역시,2017,77.39,14.4,663.7,265
울산광역시,2017,68.2,14.5,671.4,222
광주광역시,2018,74.73,14.6,1427.90,676
부산광역시,2018,58.06,15.1,1778.60,1792
강원도,2018,77.21,11.3,1450.00,817
전라북도,2018,68.58,12.9,1435.30,1545
대전광역시,2018,81.28,13.5,1542.10,467
충청남도,2018,65.04,12.4,1313.70,1542
인천광역시,2018,49.62,11.6,1012.60,779
경상남도,2018,73.45,13.9,1679.90,3034
제주특별자치도,2018,82.65,16.3,1857.10,1898
충청북도,2018,76.96,11.9,1370.70,1500
전라남도,2018,68.43,13.8,1479.30,1649
경기도,2018,77.28,11.7,1316.70,4514
서울특별시,2018,38.78,12.9,1284.10,6033
경상북도,2018,73.11,12.7,1316.60,1747
대구광역시,2018,77.39,14.1,1297.60,519
울산광역시,2018,68.17,14.3,1416.10,492
광주광역시,2019,74.73,14.7,1085.90,392
부산광역시,2019,57.9,15.7,1623.20,1226
강원도,2019,77.19,12,1094.60,421
전라북도,2019,68.15,13.1,1148.20,821
대전광역시,2019,80.49,14,984.2,287
충청남도,2019,64.56,12.7,913.2,906
인천광역시,2019,55.62,12.5,864.7,448
경상남도,2019,73.38,14.4,1588.40,2414
제주특별자치도,2019,82.65,16.6,2102.30,1533
충청북도,2019,75.94,12.4,941.1,944
전라남도,2019,68.68,14.2,1401.90,952
경기도,2019,77.1,12.3,1000.50,3118
서울특별시,2019,38.78,13.5,891.3,4225
경상북도,2019,73.26,13.3,1147.80,1120
대구광역시,2019,77.4,14.8,995.7,284
울산광역시,2019,68.2,14.9,1450.10,250
광주광역시,2020,74.5,14.5,2027.00,213
부산광역시,2020,57.9,15.2,2281.60,837
강원도,2020,77.11,11.7,1575.10,335
전라북도,2020,67.98,13,1822.20,675
대전광역시,2020,80.49,13.7,1614.00,186
충청남도,2020,64.29,12.7,1537.80,659
인천광역시,2020,55.51,12.3,1335.70,236
경상남도,2020,73.52,14.1,1886.50,1336
제주특별자치도,2020,82.66,16.4,1706.10,944
충청북도,2020,75.75,12.1,1535.90,643
전라남도,2020,68.5,14.1,1616.30,722
세종특별자치시,2020,68.27,13.1,1685.80,32
경기도,2020,76.97,12.2,1585.00,1742
서울특별시,2020,38.69,13.2,1651.10,2178
경상북도,2020,73.2,13,1364.50,930
대구광역시,2020,77.33,14.5,1244.90,272
울산광역시,2020,68.53,14.6,1557.90,171
광주광역시,2021,74.48,15.1,1303.80,269
부산광역시,2021,57.91,15.7,1807.80,573
강원도,2021,77.11,11.9,1129.90,209
전라북도,2021,67.96,13.5,1276.10,638
대전광역시,2021,80.49,14.3,1109.50,246
충청남도,2021,64.08,13.2,1171.70,695
인천광역시,2021,55.44,12.7,1068.40,362
경상남도,2021,73.26,14.5,1480.30,1128
제주특별자치도,2021,82.66,17.2,1809.50,688
충청북도,2021,75.68,12.5,1151.20,787
전라남도,2021,68.31,14.7,1392.40,736
세종특별자치시,2021,67.97,13.5,1104.60,36
경기도,2021,76.19,12.5,1050.70,2510
서울특별시,2021,38.62,13.7,1186.50,1938
경상북도,2021,73.2,12.9,1191.90,895
대구광역시,2021,77.34,14.6,910,291
울산광역시,2021,68.04,14.9,1337.00,147
광주광역시,2022,74.43,14.8,769.9,223
부산광역시,2022,57.77,15.4,991.9,750
강원도,2022,77.1,11.5,1465.40,216
전라북도,2022,67.75,13,911,676
대전광역시,2022,80.49,13.5,1203.10,554
충청남도,2022,63.59,12.5,1273.20,902
인천광역시,2022,55.73,11.9,1401.10,392
경상남도,2022,73,14.3,948,1399
제주특별자치도,2022,82.66,16.7,1362.40,1024
충청북도,2022,75.75,12,1229.90,887
전라남도,2022,68.28,14.2,896.7,845
세종특별자치시,2022,68.69,13,1222.40,107
경기도,2022,76.05,11.9,1839.60,2763
서울특별시,2022,38.58,13.2,1775.30,2198
경상북도,2022,73.21,12.9,886.7,850
대구광역시,2022,77.38,14.7,581,274
울산광역시,2022,67.99,14.7,926.1,178
광주광역시,2023,74.31,15.3,2116.10,309
부산광역시,2023,57.76,16,2191.40,1061
강원도,2023,78.95,12.4,1449.00,320
전라북도,2023,67.77,13.8,1870.00,1031
대전광역시,2023,80.49,14,2042.50,642
충청남도,2023,63.08,13.4,1718.30,907
인천광역시,2023,56.83,12.7,1215.60,840
경상남도,2023,73,14.8,2062.40,2237
제주특별자치도,2023,82.59,17.1,1791.20,1412
충청북도,2023,74.99,12.9,1731.00,1198
전라남도,2023,70.97,14.7,1792.40,1088
세종특별자치시,2023,68.69,13.8,2103.30,154
경기도,2023,75.82,12.7,1486.40,3862
서울특별시,2023,38.6,14.1,1598.80,2960
경상북도,2023,73.11,13.6,1545.30,1063
대구광역시,2023,77.4,15.1,1321.80,417
울산광역시,2023,76.03,15,1642.90,255